Total_Error_mm,Percent_Error,Estimate_Type,Fishery
34.40,11.28,Adjusted,Finfish
70.90,23.25,Adjusted,Finfish
36.10,11.84,Adjusted,Finfish
53.20,17.44,Adjusted,Finfish
36.70,12.03,Adjusted,Finfish
32.80,10.75,Adjusted,Finfish
54.70,16.09,Adjusted,Finfish
25.10,7.38,Adjusted,Finfish
82.10,24.15,Adjusted,Finfish
35.60,10.47,Adjusted,Finfish
39.10,11.50,Adjusted,Finfish
51.40,15.12,Adjusted,Finfish
71.60,21.06,Adjusted,Finfish
56.60,16.65,Adjusted,Finfish
50.00,13.40,Adjusted,Finfish
29.40,7.88,Adjusted,Finfish
73.10,19.60,Adjusted,Finfish
71.10,19.06,Adjusted,Finfish
48.90,13.11,Adjusted,Finfish
46.40,12.44,Adjusted,Finfish
97.00,27.09,Adjusted,Finfish
71.00,19.83,Adjusted,Finfish
30.10,8.41,Adjusted,Finfish
76.50,21.37,Adjusted,Finfish
63.70,17.79,Adjusted,Finfish
37.70,10.53,Adjusted,Finfish
47.50,13.27,Adjusted,Finfish
83.50,20.37,Adjusted,Finfish
42.30,10.32,Adjusted,Finfish
54.70,13.34,Adjusted,Finfish
46.60,11.37,Adjusted,Finfish
66.70,16.27,Adjusted,Finfish
25.80,10.84,Adjusted,Finfish
61.00,25.63,Adjusted,Finfish
18.70,7.86,Adjusted,Finfish
37.20,15.63,Adjusted,Finfish
47.60,20.00,Adjusted,Finfish
14.50,6.09,Adjusted,Finfish
45.80,12.21,Adjusted,Finfish
75.40,20.11,Adjusted,Finfish
55.70,14.85,Adjusted,Finfish
72.30,19.28,Adjusted,Finfish
41.30,11.01,Adjusted,Finfish
65.90,17.57,Adjusted,Finfish
39.40,10.51,Adjusted,Finfish
20.60,9.81,Adjusted,Finfish
16.70,7.95,Adjusted,Finfish
35.50,16.90,Adjusted,Finfish
21.80,10.38,Adjusted,Finfish
28.40,13.52,Adjusted,Finfish
47.30,22.52,Adjusted,Finfish
40.10,19.10,Adjusted,Finfish
55.00,17.30,Adjusted,Finfish
32.10,10.09,Adjusted,Finfish
94.70,29.78,Adjusted,Finfish
51.90,16.32,Adjusted,Finfish
70.10,22.04,Adjusted,Finfish
60.50,19.03,Adjusted,Finfish
57.40,18.05,Adjusted,Finfish
64.40,20.25,Adjusted,Finfish
64.10,20.16,Adjusted,Finfish
59.80,18.81,Adjusted,Finfish
19.00,7.98,Adjusted,Finfish
41.10,17.27,Adjusted,Finfish
36.50,15.34,Adjusted,Finfish
29.40,12.35,Adjusted,Finfish
32.50,13.66,Adjusted,Finfish
33.00,13.87,Adjusted,Finfish
39.80,16.72,Adjusted,Finfish
27.30,11.47,Adjusted,Finfish
49.50,14.64,Adjusted,Finfish
51.70,15.30,Adjusted,Finfish
24.00,7.10,Adjusted,Finfish
69.30,20.50,Adjusted,Finfish
76.40,22.60,Adjusted,Finfish
86.60,25.62,Adjusted,Finfish
60.20,17.81,Adjusted,Finfish
66.20,19.59,Adjusted,Finfish
104.60,30.95,Adjusted,Finfish
102.80,30.41,Adjusted,Finfish
23.50,6.95,Adjusted,Finfish
11.40,3.00,Adjusted,Finfish
50.20,13.21,Adjusted,Finfish
35.70,9.39,Adjusted,Finfish
40.00,10.53,Adjusted,Finfish
45.80,12.05,Adjusted,Finfish
40.20,10.58,Adjusted,Finfish
34.20,9.00,Adjusted,Finfish
59.80,15.74,Adjusted,Finfish
91.90,25.18,Adjusted,Finfish
22.60,6.19,Adjusted,Finfish
55.00,15.07,Adjusted,Finfish
66.00,18.08,Adjusted,Finfish
33.00,9.04,Adjusted,Finfish
41.70,11.42,Adjusted,Finfish
31.30,8.58,Adjusted,Finfish
62.80,17.21,Adjusted,Finfish
64.30,17.62,Adjusted,Finfish
56.00,21.13,Adjusted,Finfish
42.90,16.19,Adjusted,Finfish
59.90,22.60,Adjusted,Finfish
61.30,23.13,Adjusted,Finfish
63.80,24.08,Adjusted,Finfish
52.80,19.92,Adjusted,Finfish
25.00,9.43,Adjusted,Finfish
27.40,10.34,Adjusted,Finfish
38.90,14.68,Adjusted,Finfish
32.70,12.34,Adjusted,Finfish
51.00,19.25,Adjusted,Finfish
62.90,27.47,Adjusted,Finfish
16.10,7.03,Adjusted,Finfish
23.60,10.31,Adjusted,Finfish
39.50,17.25,Adjusted,Finfish
23.00,10.04,Adjusted,Finfish
17.70,7.73,Adjusted,Finfish
49.20,21.48,Adjusted,Finfish
38.30,16.72,Adjusted,Finfish
52.40,22.88,Adjusted,Finfish
40.10,23.45,Adjusted,Finfish
22.90,13.39,Adjusted,Finfish
34.60,20.23,Adjusted,Finfish
22.70,13.27,Adjusted,Finfish
24.00,14.04,Adjusted,Finfish
157.20,91.93,Adjusted,Finfish
5.00,2.92,Adjusted,Finfish
21.90,12.81,Adjusted,Finfish
22.00,12.87,Adjusted,Finfish
23.40,13.68,Adjusted,Finfish
4.80,2.81,Adjusted,Finfish
28.00,13.79,Adjusted,Finfish
44.30,21.82,Adjusted,Finfish
22.80,11.23,Adjusted,Finfish
40.00,19.70,Adjusted,Finfish
47.60,23.45,Adjusted,Finfish
44.70,22.02,Adjusted,Finfish
38.10,18.86,Adjusted,Finfish
18.10,8.96,Adjusted,Finfish
40.70,20.15,Adjusted,Finfish
26.10,12.92,Adjusted,Finfish
13.20,6.53,Adjusted,Finfish
34.60,12.67,Adjusted,Finfish
35.70,13.08,Adjusted,Finfish
35.80,13.11,Adjusted,Finfish
34.70,12.71,Adjusted,Finfish
55.60,20.37,Adjusted,Finfish
51.50,17.40,Adjusted,Finfish
70.40,23.78,Adjusted,Finfish
62.50,21.11,Adjusted,Finfish
65.00,21.96,Adjusted,Finfish
64.10,21.66,Adjusted,Finfish
46.80,15.81,Adjusted,Finfish
60.10,19.58,Adjusted,Finfish
28.10,9.15,Adjusted,Finfish
39.20,12.77,Adjusted,Finfish
36.60,11.92,Adjusted,Finfish
23.50,7.65,Adjusted,Finfish
30.40,9.90,Adjusted,Finfish
-7.40,-2.41,Adjusted,Finfish
62.20,20.26,Adjusted,Finfish
-4.20,-1.37,Adjusted,Finfish
12.10,3.94,Adjusted,Finfish
34.20,11.14,Adjusted,Finfish
40.80,13.29,Adjusted,Finfish
27.30,16.96,Adjusted,Finfish
18.30,11.37,Adjusted,Finfish
5.10,3.17,Adjusted,Finfish
25.10,15.59,Adjusted,Finfish
21.80,13.54,Adjusted,Finfish
23.30,14.47,Adjusted,Finfish
17.00,10.56,Adjusted,Finfish
9.20,5.71,Adjusted,Finfish
32.00,19.88,Adjusted,Finfish
34.00,9.71,Adjusted,Finfish
63.00,18.00,Adjusted,Finfish
33.20,9.49,Adjusted,Finfish
59.20,16.91,Adjusted,Finfish
31.70,9.06,Adjusted,Finfish
49.10,14.03,Adjusted,Finfish
11.70,4.78,Adjusted,Finfish
41.20,16.82,Adjusted,Finfish
12.40,5.06,Adjusted,Finfish
27.60,11.27,Adjusted,Finfish
37.20,15.18,Adjusted,Finfish
-3.50,-1.43,Adjusted,Finfish
-0.90,-0.37,Adjusted,Finfish
14.20,5.80,Adjusted,Finfish
20.00,8.16,Adjusted,Finfish
7.80,3.18,Adjusted,Finfish
41.50,18.61,Adjusted,Finfish
39.50,17.71,Adjusted,Finfish
19.10,8.57,Adjusted,Finfish
57.10,25.61,Adjusted,Finfish
38.10,17.09,Adjusted,Finfish
25.20,11.30,Adjusted,Finfish
7.70,3.45,Adjusted,Finfish
11.90,5.34,Adjusted,Finfish
21.50,9.64,Adjusted,Finfish
23.00,9.02,Adjusted,Finfish
37.80,14.82,Adjusted,Finfish
32.90,12.90,Adjusted,Finfish
-4.60,-1.80,Adjusted,Finfish
5.60,2.20,Adjusted,Finfish
40.70,15.96,Adjusted,Finfish
75.00,29.41,Adjusted,Finfish
37.70,14.78,Adjusted,Finfish
44.60,17.49,Adjusted,Finfish
25.60,10.04,Adjusted,Finfish
65.00,18.06,Adjusted,Finfish
21.80,6.06,Adjusted,Finfish
17.70,4.92,Adjusted,Finfish
45.60,12.67,Adjusted,Finfish
81.80,22.72,Adjusted,Finfish
57.30,15.92,Adjusted,Finfish
46.60,12.94,Adjusted,Finfish
44.00,11.80,Adjusted,Finfish
54.20,14.53,Adjusted,Finfish
23.20,6.22,Adjusted,Finfish
39.90,10.70,Adjusted,Finfish
75.10,20.13,Adjusted,Finfish
4.90,1.31,Adjusted,Finfish
10.20,2.73,Adjusted,Finfish
78.70,21.10,Adjusted,Finfish
12.00,3.22,Adjusted,Finfish
15.70,4.52,Adjusted,Finfish
41.90,12.07,Adjusted,Finfish
0.50,0.14,Adjusted,Finfish
67.90,19.57,Adjusted,Finfish
54.20,15.62,Adjusted,Finfish
36.60,10.55,Adjusted,Finfish
-2.90,-0.84,Adjusted,Finfish
16.60,4.78,Adjusted,Finfish
81.90,23.60,Adjusted,Finfish
43.20,12.45,Adjusted,Finfish
39.80,12.84,Adjusted,Finfish
26.00,8.39,Adjusted,Finfish
65.50,21.13,Adjusted,Finfish
20.90,6.74,Adjusted,Finfish
66.20,21.35,Adjusted,Finfish
24.80,8.00,Adjusted,Finfish
36.40,11.74,Adjusted,Finfish
47.30,15.26,Adjusted,Finfish
55.90,18.03,Adjusted,Finfish
41.90,13.52,Adjusted,Finfish
16.10,5.19,Adjusted,Finfish
77.30,19.82,Adjusted,Finfish
51.30,13.15,Adjusted,Finfish
73.90,18.95,Adjusted,Finfish
68.00,17.44,Adjusted,Finfish
80.20,20.56,Adjusted,Finfish
51.50,13.21,Adjusted,Finfish
75.10,18.64,Adjusted,Finfish
68.80,17.07,Adjusted,Finfish
66.60,16.53,Adjusted,Finfish
32.70,8.11,Adjusted,Finfish
68.20,16.92,Adjusted,Finfish
71.40,17.72,Adjusted,Finfish
16.70,4.14,Adjusted,Finfish
26.80,11.91,Adjusted,Finfish
33.60,14.93,Adjusted,Finfish
12.50,5.56,Adjusted,Finfish
31.60,14.04,Adjusted,Finfish
20.20,8.98,Adjusted,Finfish
33.70,14.98,Adjusted,Finfish
14.90,6.62,Adjusted,Finfish
6.10,2.60,Adjusted,Finfish
23.20,9.87,Adjusted,Finfish
33.60,14.30,Adjusted,Finfish
13.90,5.91,Adjusted,Finfish
22.00,9.36,Adjusted,Finfish
37.90,16.13,Adjusted,Finfish
19.70,8.38,Adjusted,Finfish
33.80,14.38,Adjusted,Finfish
-48.20,-32.35,Algorithm,Lobster
-54.90,-37.09,Algorithm,Lobster
2.70,1.87,Algorithm,Lobster
21.30,15.11,Algorithm,Lobster
79.50,56.38,Algorithm,Lobster
4.70,3.36,Algorithm,Lobster
-17.40,-12.52,Algorithm,Lobster
84.40,60.72,Algorithm,Lobster
14.50,10.51,Algorithm,Lobster
15.70,11.38,Algorithm,Lobster
65.30,47.66,Algorithm,Lobster
-26.90,-19.64,Algorithm,Lobster
-18.60,-13.58,Algorithm,Lobster
36.30,26.69,Algorithm,Lobster
-13.30,-9.85,Algorithm,Lobster
-0.40,-0.30,Algorithm,Lobster
-20.80,-15.41,Algorithm,Lobster
13.50,10.07,Algorithm,Lobster
140.90,105.94,Algorithm,Lobster
138.80,104.36,Algorithm,Lobster
69.00,52.08,Algorithm,Lobster
-4.70,-3.56,Algorithm,Lobster
-28.20,-21.36,Algorithm,Lobster
-31.40,-23.79,Algorithm,Lobster
-25.10,-19.02,Algorithm,Lobster
1.10,0.84,Algorithm,Lobster
-45.00,-34.35,Algorithm,Lobster
26.00,19.85,Algorithm,Lobster
-11.60,-8.85,Algorithm,Lobster
-8.30,-6.38,Algorithm,Lobster
-16.60,-12.77,Algorithm,Lobster
9.10,7.00,Algorithm,Lobster
30.10,23.15,Algorithm,Lobster
-53.40,-41.08,Algorithm,Lobster
-38.90,-29.92,Algorithm,Lobster
-20.90,-16.08,Algorithm,Lobster
57.70,44.38,Algorithm,Lobster
-10.80,-8.37,Algorithm,Lobster
-18.10,-14.03,Algorithm,Lobster
55.50,43.02,Algorithm,Lobster
-18.90,-14.65,Algorithm,Lobster
0.90,0.70,Algorithm,Lobster
1.40,1.09,Algorithm,Lobster
48.20,37.66,Algorithm,Lobster
15.20,11.88,Algorithm,Lobster
-8.50,-6.64,Algorithm,Lobster
-26.50,-20.70,Algorithm,Lobster
-12.60,-9.84,Algorithm,Lobster
16.30,12.73,Algorithm,Lobster
-7.40,-5.78,Algorithm,Lobster
-14.90,-11.64,Algorithm,Lobster
94.70,74.57,Algorithm,Lobster
21.50,16.93,Algorithm,Lobster
54.00,42.52,Algorithm,Lobster
112.40,88.50,Algorithm,Lobster
46.20,36.38,Algorithm,Lobster
39.80,31.34,Algorithm,Lobster
-21.30,-16.77,Algorithm,Lobster
124.60,98.11,Algorithm,Lobster
2.10,1.67,Algorithm,Lobster
38.80,30.79,Algorithm,Lobster
-40.90,-32.72,Algorithm,Lobster
-29.90,-23.92,Algorithm,Lobster
12.10,9.76,Algorithm,Lobster
-32.20,-25.97,Algorithm,Lobster
22.00,17.74,Algorithm,Lobster
-10.60,-8.55,Algorithm,Lobster
3.10,2.50,Algorithm,Lobster
12.10,9.76,Algorithm,Lobster
-18.90,-15.24,Algorithm,Lobster
27.70,22.34,Algorithm,Lobster
79.40,64.03,Algorithm,Lobster
-13.90,-11.21,Algorithm,Lobster
-14.30,-11.53,Algorithm,Lobster
33.10,26.91,Algorithm,Lobster
42.80,34.80,Algorithm,Lobster
-12.90,-10.49,Algorithm,Lobster
46.80,38.36,Algorithm,Lobster
-24.00,-19.67,Algorithm,Lobster
-3.10,-2.54,Algorithm,Lobster
12.00,9.84,Algorithm,Lobster
-37.20,-30.49,Algorithm,Lobster
85.90,70.41,Algorithm,Lobster
78.70,64.51,Algorithm,Lobster
-27.20,-22.48,Algorithm,Lobster
32.80,27.11,Algorithm,Lobster
33.20,27.44,Algorithm,Lobster
37.20,30.74,Algorithm,Lobster
12.30,10.17,Algorithm,Lobster
54.70,45.21,Algorithm,Lobster
36.50,30.42,Algorithm,Lobster
19.70,16.42,Algorithm,Lobster
-9.00,-7.50,Algorithm,Lobster
8.10,6.75,Algorithm,Lobster
-3.60,-3.00,Algorithm,Lobster
